Preset and Sample Listing for MODULA KONTROL 7-Performance.exb
Sun Jul 19 11:15:56 2026

Presets

Number  	Bank:Prog   	Name                              	Category
149     	001:021     	bas:Hummer                        	Bass
150     	001:022     	bas:Bagg                          	Bass
151     	001:023     	bas:TS Mini                       	Bass
152     	001:024     	bas:MonoMe                        	Bass
153     	001:025     	bas:MonoMe2                       	Bass
154     	001:026     	bas:Bounce                        	Bass
155     	001:027     	bas:303 Saws                      	Bass
156     	001:028     	bas:303 Squares                   	Bass
157     	001:029     	bas:Phatt Taurus                  	Bass
158     	001:030     	bas:So Lo Pro                     	Bass
159     	001:031     	bas:TaurusPedals                  	Bass
160     	001:032     	bas:Mini Snap                     	Bass
161     	001:033     	bas:Deep Bass                     	Bass
162     	001:034     	bas:Elec Bass 1                   	Bass
163     	001:035     	bas:Elec Bass 2                   	Bass
164     	001:036     	bas:Elec Bass 3                   	Bass
165     	001:037     	bas:Get Up                        	Bass
166     	001:038     	bas:Gutt Pick                     	Bass
167     	001:039     	bas:Liquid Moog                   	Bass
168     	001:040     	bas:Luxury Bass                   	Bass
169     	001:041     	bas:Miny's Moog                   	Bass
170     	001:042     	bas:Mod Whl 2002                  	Bass
171     	001:043     	bas:Mono Squash                   	Bass
172     	001:044     	bas:Q Bass                        	Bass
173     	001:045     	bas:Quake Bass                    	Bass
174     	001:046     	bas:Round Up                      	Bass
175     	001:047     	bas:Rubber Saw                    	Bass
176     	001:048     	bas:Spiral Moog                   	Bass
177     	001:049     	bas:Syn Bass                      	Bass
178     	001:050     	bas:Upright Cmbo                  	Bass
179     	001:051     	bas:Upright Gutt                  	Bass
180     	001:052     	bas:Upright Xprs                  	Bass
181     	001:053     	bas:UprightSteel                  	Bass
182     	001:054     	bas:Xpress Moog                   	Bass
183     	001:055     	bas:808 Bass                      	Bass
184     	001:056     	jam:Funkersize                    	Bass
185     	001:057     	pad:OB Layer                      	Pad
186     	001:058     	pad:Luxury                        	Pad
187     	001:059     	pad:Chasers MW                    	Pad
188     	001:060     	pad:LadyPulsar                    	Pad
189     	001:061     	pad:MeltingHartz                  	Pad
190     	001:062     	syn:Sin Symph 2                   	Synth
191     	001:063     	syn:WAWIFLHEAD                    	Synth
192     	001:064     	syn:WeirdVox2                     	Synth
193     	001:065     	syn:SilkWerm                      	Synth
194     	001:066     	syn:LadyOrgan2                    	Synth
256     	002:000     	pad:Skyline Epo                   	Pad
257     	002:001     	pad:QuietSaws Layer               	Pad
258     	002:002     	pad:QuietSaws Layer 3             	Pad
259     	002:003     	pad:ChifferPad                    	Pad
260     	002:004     	pad:skyline flute duo             	Pad
261     	002:005     	led:pad:skyline cmb               	Pad
262     	002:006     	pad:Beauteous                     	Pad
263     	002:007     	pad:Angel Eyes                    	Pad
264     	002:008     	pad:QuietSaws                     	Pad
265     	002:009     	pad:M12 Skyline                   	Pad
266     	002:010     	OB-Xa Layer                       	Pad
267     	002:011     	OB-Xa Maxive Mono                 	Pad
268     	002:012     	pad:Poly Pad                      	Pad
269     	002:013     	pad:ProfitMargin                  	Pad
270     	002:014     	pad:Tri Res                       	Pad
271     	002:015     	pad:Big Pad                       	Pad
272     	002:016     	pad:Fem Strings                   	Pad
273     	002:017     	Strings                           	Pad
274     	002:018     	String Pad                        	Pad
275     	002:019     	Soft Stringvoice                  	Pad
276     	002:020     	Soundtrack                        	Pad
277     	002:021     	Soft Strings                      	Pad
278     	002:022     	Stringvoices                      	Pad
279     	002:023     	pad:Slippery                      	Pad
280     	002:024     	pad:Matches                       	Pad
281     	002:025     	pad:Horizons                      	Pad
282     	002:026     	pad:Raindance                     	Pad
283     	002:027     	pad:SlitherPad                    	Pad
284     	002:028     	pad:HarshSwell                    	Pad
285     	002:029     	pad:Grainy                        	Pad
286     	002:030     	pad:GrimFemVox                    	Pad
287     	002:031     	pad:Pipey                         	Pad
288     	002:032     	pad:Organ Synth                   	Pad
289     	002:033     	pad:iBubble                       	Pad
290     	002:034     	pad:Sentinels                     	Pad
291     	002:035     	Spiritmind                        	Pad
292     	002:036     	pad:Sentinels2                    	Pad
293     	002:037     	pad:Ghost Vox                     	Pad
294     	002:038     	pad:O.D.                          	Pad
295     	002:039     	pad:Liquid 1                      	Pad
296     	002:040     	pad:Liquid 2                      	Pad
297     	002:041     	pad:Thin Lad                      	Pad
298     	002:042     	pad:Lunar                         	Pad
299     	002:043     	pad:Believe                       	Pad
300     	002:044     	pad:Lunar 2                       	Pad
301     	002:045     	pad:PreSamplers                   	Pad
302     	002:046     	pad:Liquid 3                      	Pad
303     	002:047     	wnd:StereoMtron                   	Pad
304     	002:048     	wnd:Flute Sect                    	Pad
305     	002:049     	wnd:Tron Flute                    	Pad
306     	002:050     	wnd:Flute Bed                     	Pad
307     	002:051     	wnd:SoftFlutes                    	Pad
308     	002:052     	wnd:LoFi Flute                    	Pad
309     	002:053     	wnd:Flooting                      	Pad
310     	002:054     	wnd:Dark Satyr                    	Pad
311     	002:055     	wnd:Reedy                         	Pad
312     	002:056     	pad:JupyPad                       	Pad
313     	002:057     	pad:Juno & DX                     	Pad
314     	002:058     	pad:80zFuzzPad                    	Pad
315     	002:059     	pad:P10 SkySweep                  	Pad
316     	002:060     	pad:Nephilim                      	Pad
384     	003:000     	10 Celli                          	Strings
385     	003:001     	10 Violas                         	Strings
386     	003:002     	5 Violas                          	Strings
387     	003:003     	15 Violins                        	Strings
388     	003:004     	8 Basses                          	Strings
389     	003:005     	St Thomas Strings                 	Strings
390     	003:006     	String Orchestra                  	Strings
391     	003:007     	4 Basses                          	Strings
392     	003:008     	aco:Orchestral                    	Strings
393     	003:009     	AM Ensemble                       	Strings
394     	003:010     	MultiStack Pb5X2                  	Strings
395     	003:011     	Arco Strings Hi                   	Strings
396     	003:012     	Arco Strings Lo                   	Strings
397     	003:013     	str:String Vox                    	Strings
398     	003:014     	str:String Flute                  	Strings
399     	003:015     	str:VeloBows                      	Strings
400     	003:016     	str:String Box                    	Strings
401     	003:017     	str:Elka & Mtron                  	Strings
402     	003:018     	str:Celli Sect                    	Strings
403     	003:019     	str:Smooth&Wide                   	Strings
404     	003:020     	str:String Fever                  	Strings
405     	003:021     	str:Its The Pitz                  	Strings
406     	003:022     	str:ClosetCleanR                  	Strings
407     	003:023     	str:String Cheez                  	Strings
408     	003:024     	str:Filtron                       	Strings
409     	003:025     	str:Tron Violins                  	Strings
411     	003:027     	str:Analog Harp                   	Strings
412     	003:028     	str:Solina                        	Strings
413     	003:029     	str:Elka Combo                    	Strings
414     	003:030     	str:SuperElka                     	Strings
415     	003:031     	str:Lush70'sFade                  	Strings
416     	003:032     	str:Big M12                       	Strings
417     	003:033     	str:Ensemble                      	Strings
418     	003:034     	str:MemMoogStrng                  	Strings
419     	003:035     	str:Muffled                       	Strings
420     	003:036     	str:Sepiatone                     	Strings
421     	003:037     	str:Old Time1                     	Strings
422     	003:038     	str:Old Time2                     	Strings
423     	003:039     	str:Old Time3                     	Strings
512     	004:000     	wal:DOOM 2020                     	Drone
513     	004:001     	wal:ABYSS                         	Drone
514     	004:002     	wal:Arrival                       	Drone
515     	004:003     	wal:BACKDRAFT                     	Drone
516     	004:004     	wal:Balls2The...                  	Drone
517     	004:005     	wal:Big Wall                      	Drone
518     	004:006     	wal:ByzantineNze                  	Drone
519     	004:007     	wal:Clavonate                     	Drone
520     	004:008     	wal:C-Ride mono                   	Drone
521     	004:009     	wal:DailyBread                    	Drone
522     	004:010     	wal:Duckfuzz                      	Drone
523     	004:011     	wal:Field                         	Drone
524     	004:012     	wal:HoverCraft                    	Drone
525     	004:013     	wal:I made it                     	Drone
526     	004:014     	wal:Ice Ring                      	Drone
527     	004:015     	wal:Love 2bee                     	Drone
528     	004:016     	wal:Luscious                      	Drone
529     	004:017     	wal:MaMMoTH mono                  	Drone
530     	004:018     	wal:Marvs Modulo                  	Drone
531     	004:019     	wal:Maryland                      	Drone
532     	004:020     	wal:Raverotic                     	Drone
533     	004:021     	wal:Ripped                        	Drone
534     	004:022     	wal:Silkness                      	Drone
535     	004:023     	wal:Strangled                     	Drone
536     	004:024     	wal:THE MACHEEN                   	Drone
537     	004:025     	wal:Thickets                      	Drone
538     	004:026     	wal:Uncle Fester                  	Drone
539     	004:027     	wal:W6 3sEvEn                     	Drone
540     	004:028     	wal:DonkeyBreath                  	Drone
541     	004:029     	wal:ABYSS                         	Drone
542     	004:030     	wal:Arrival                       	Drone
544     	004:032     	wal:GoSpeedRacer                  	Drone
545     	004:033     	wal:REZARECT                      	Drone
640     	005:000     	bpm:Wicked Low                    	BPM
641     	005:001     	bpm:Beat Row 1                    	BPM
642     	005:002     	bpm:Beat Row 2                    	BPM
643     	005:003     	bpm:Spinner                       	BPM
644     	005:004     	bpm:El Effo Sr.                   	BPM
645     	005:005     	bpm:Q Noiz Klock                  	BPM
646     	005:006     	bpm:S/H Operator                  	BPM
647     	005:007     	bpm:Q PulseKlock                  	BPM
648     	005:008     	bpm:RoboJive                      	BPM
649     	005:009     	bpm:Botanic Rain                  	BPM
650     	005:010     	bpm:Compute Me                    	BPM
651     	005:011     	bpm:E-mu Garden                   	BPM
652     	005:012     	bpm:E-mu Lize                     	BPM
653     	005:013     	bpm:Evening Vox                   	BPM
654     	005:014     	bpm:Feature Show                  	BPM
655     	005:015     	bpm:Filter Seq 1                  	BPM
656     	005:016     	bpm:Fun-2-U Seq                   	BPM
657     	005:017     	bpm:HMTL Synth                    	BPM
658     	005:018     	bpm:Layer Rhythm                  	BPM
659     	005:019     	bpm:Mars Garden?                  	BPM
660     	005:020     	bpm:Mover Rogue                   	BPM
661     	005:021     	bpm:Mystical                      	BPM
662     	005:022     	bpm:Octave Movy                   	BPM
663     	005:023     	bpm:Org Sequence                  	BPM
664     	005:024     	bpm:Pad Sequence                  	BPM
665     	005:025     	bpm:Pad to fase                   	BPM
666     	005:026     	bpm:Pad Winder                    	BPM
667     	005:027     	bpm:Puls Show                     	BPM
668     	005:028     	bpm:Rocket Ship                   	BPM
669     	005:029     	bpm:SemiLife                      	BPM
670     	005:030     	bpm:Slit Rhythm                   	BPM
671     	005:031     	bpm:System 55                     	BPM
672     	005:032     	bpm:Time Meta Pad                 	BPM
673     	005:033     	bpm:Time Vox                      	BPM
674     	005:034     	bpm:Time Vox Pad                  	BPM
675     	005:035     	bpm:Vox Sequence                  	BPM
676     	005:036     	bpm:Voxa Move                     	BPM
677     	005:037     	bpm:Wave to Pad                   	BPM
678     	005:038     	bpm:Waveron                       	BPM
679     	005:039     	bpm:Weird Song                    	BPM
680     	005:040     	bpm:WoWoW Me                      	BPM
681     	005:041     	bpm:Z-Plane Trip                  	BPM
682     	005:042     	bpm:"Carpe Diem"                  	BPM
683     	005:043     	bpm:8 oscillator                  	BPM
684     	005:044     	bpm:Accento Pad                   	BPM
685     	005:045     	bpm:Accento Pad2                  	BPM
686     	005:046     	bpm:Alien Park                    	BPM
687     	005:047     	bpm:Beam me Up                    	BPM
688     	005:048     	bpm:Boogy Synth                   	BPM
689     	005:049     	bpm:Bouncerette                   	BPM
690     	005:050     	bpm:Bubbler                       	BPM
691     	005:051     	bpm:Clocking Out                  	BPM
692     	005:052     	bpm:CReeP mono                    	BPM
693     	005:053     	bpm:Cult-feel                     	BPM
694     	005:054     	bpm:End                           	BPM
695     	005:055     	bpm:Grinded                       	BPM
696     	005:056     	bpm:GRITS                         	BPM
697     	005:057     	bpm:Higher Power                  	BPM
698     	005:058     	bpm:HOUSE                         	BPM
699     	005:059     	bpm:Love 1                        	BPM
700     	005:060     	bpm:L'room mono                   	BPM
701     	005:061     	bpm:Lunar Pad                     	BPM
702     	005:062     	bpm:Mercy                         	BPM
703     	005:063     	bpm:Monster                       	BPM
704     	005:064     	bpm:Multisteps                    	BPM
705     	005:065     	bpm:Panhandel                     	BPM
706     	005:066     	bpm:RadioDaze                     	BPM
707     	005:067     	bpm:Reepeter                      	BPM
708     	005:068     	bpm:SakuraTime                    	BPM
709     	005:069     	bpm:Solace                        	BPM
710     	005:070     	bpm:Sparkle                       	BPM
711     	005:071     	bpm:Square Rise                   	BPM
712     	005:072     	bpm:Squeapels                     	BPM
713     	005:073     	bpm:SteppedDream                  	BPM
714     	005:074     	bpm:Synthex 80's                  	BPM
715     	005:075     	bpm:Tempo LFOs                    	BPM
716     	005:076     	bpm:Trashy                        	BPM
717     	005:077     	bpm:TRIPPER                       	BPM
718     	005:078     	bpm:UnderClaSS                    	BPM
719     	005:079     	bpm:Wading                        	BPM
720     	005:080     	arp:Khord                         	Drum Kit
721     	005:081     	arp:Classic                       	BPM
768     	006:000     	epo:Classic EP                    	Electric Piano
769     	006:001     	epo:CP Seventy                    	Electric Piano
771     	006:003     	epo:Wurly                         	Electric Piano
772     	006:004     	key:Clavinet                      	Electric Piano
774     	006:006     	epo:Mello Tines                   	Electric Piano
775     	006:007     	epo:Dyno Vox                      	Electric Piano
776     	006:008     	epo:CP Pad                        	Electric Piano
778     	006:010     	key:Clav Flanger                  	Electric Piano
780     	006:012     	epo:Dyno Piano                    	Electric Piano
781     	006:013     	epo:Chorus Dyno                   	Electric Piano
782     	006:014     	epo:Lite Dyno                     	Electric Piano
783     	006:015     	epo:Heavy Dyno                    	Electric Piano
784     	006:016     	epo:StudioDyno1                   	Electric Piano
785     	006:017     	epo:StudioDyno2                   	Electric Piano
786     	006:018     	epo:DynoStcase                    	Electric Piano
787     	006:019     	epo:DynoChorus                    	Electric Piano
788     	006:020     	epo:Stereo EP                     	Electric Piano
789     	006:021     	epo:DynoOdd                       	Electric Piano
790     	006:022     	epo:Dyno Soft                     	Electric Piano
791     	006:023     	epo:String EP                     	Electric Piano
793     	006:025     	epo:MetalBars                     	Electric Piano
794     	006:026     	epo:MetalBarsXfd                  	Electric Piano
795     	006:027     	epo:EP Silver                     	Electric Piano
796     	006:028     	epo:Canada                        	Electric Piano
797     	006:029     	epo:Toyo                          	Electric Piano
798     	006:030     	epo:MarshMello                    	Electric Piano
799     	006:031     	epo:Mello EP1                     	Electric Piano
800     	006:032     	epo:Mello EP2                     	Electric Piano
801     	006:033     	epo:Mellow Pop                    	Electric Piano
802     	006:034     	epo:OB Tine EP                    	Electric Piano
803     	006:035     	epo:OB EP                         	Electric Piano
804     	006:036     	epo:FM Tines                      	Electric Piano
805     	006:037     	epo:FM SimpleEP                   	Electric Piano
806     	006:038     	epo:FM Delicate                   	Electric Piano
807     	006:039     	epo:FM Phase                      	Electric Piano
808     	006:040     	epo:FM Flanger                    	Electric Piano
809     	006:041     	epo:Dynamic FM                    	Electric Piano
810     	006:042     	epo:Analog FM                     	Electric Piano
811     	006:043     	epo:Wurlilayer                    	Electric Piano
812     	006:044     	epo:Mama'sWurli                   	Electric Piano
813     	006:045     	epo:Real CP                       	Electric Piano
814     	006:046     	epo:ClassicCP                     	Electric Piano
815     	006:047     	epo:CP 70                         	Electric Piano
816     	006:048     	epo:CP Layer                      	Electric Piano
817     	006:049     	epo:Vintage CP                    	Electric Piano
818     	006:050     	epo:Rock CP                       	Electric Piano
819     	006:051     	epo:Stage CP                      	Electric Piano
820     	006:052     	epo:CP Light                      	Electric Piano
821     	006:053     	epo:CP Tight                      	Electric Piano
822     	006:054     	epo:CP Uptown                     	Electric Piano
823     	006:055     	epo:Lullaby                       	Electric Piano
824     	006:056     	epo:AOR Ballad                    	Electric Piano
825     	006:057     	key:Clav 1                        	Electric Piano
826     	006:058     	key:Clav 2                        	Electric Piano
827     	006:059     	key:Clav 3                        	Electric Piano
828     	006:060     	key:Clav1&2                       	Electric Piano
829     	006:061     	key:StereoClav 2                  	Electric Piano
830     	006:062     	key:Buzzy Clav                    	Electric Piano
831     	006:063     	key:FunkMaster                    	Electric Piano
832     	006:064     	key:PhaseClav                     	Electric Piano
835     	006:067     	key:SynthClav                     	Electric Piano
836     	006:068     	key:PhaseClav2                    	Electric Piano
837     	006:069     	key:Phase Clav3                   	Electric Piano
838     	006:070     	key:TwoClavs                      	Electric Piano
840     	006:072     	key:ThinClav                      	Electric Piano
842     	006:074     	key:Clavsichord                   	Electric Piano
845     	006:077     	key:Monster Clav                  	Electric Piano
846     	006:078     	key:AnaClav                       	Electric Piano
847     	006:079     	key:Klav Mav                      	Electric Piano
848     	006:080     	key:WakTclav                      	Electric Piano
849     	006:081     	key:Clav Freak                    	Electric Piano
850     	006:082     	key:Kloid's Jam                   	Electric Piano
851     	006:083     	key:Clav Wah 1                    	Electric Piano
852     	006:084     	key:Clav Wah 2                    	Electric Piano
853     	006:085     	key:Clavicle                      	Electric Piano
854     	006:086     	key:P5Hrpsichrd                   	Electric Piano
855     	006:087     	key:Clavitzer                     	Electric Piano
856     	006:088     	kb1:Elecro7CP80                   	Electric Piano
857     	006:089     	kb2:Classic EP 1                  	Electric Piano
858     	006:090     	kb2:Classic EP 2                  	Electric Piano
859     	006:091     	kb2:Classic EP 3                  	Electric Piano
860     	006:092     	kb2:Classic EP 4                  	Electric Piano
861     	006:093     	kb2:DooGie                        	Electric Piano
862     	006:094     	kb2:Dynofunk EP                   	Electric Piano
863     	006:095     	kb2:FM El Piano                   	Electric Piano
864     	006:096     	kb2:FM EP 1                       	Electric Piano
865     	006:097     	kb2:FM EP 2                       	Electric Piano
866     	006:098     	kb2:FM2Classic                    	Electric Piano
867     	006:099     	kb2:Hard Dyno                     	Electric Piano
868     	006:100     	kb2:Hard EP                       	Electric Piano
869     	006:101     	kb2:Hard Tine                     	Electric Piano
870     	006:102     	kb2:Lovers Fm EP                  	Electric Piano
871     	006:103     	kb2:Med Dyno                      	Electric Piano
872     	006:104     	kb2:Med EP                        	Electric Piano
873     	006:105     	kb2:Melosoul EP                   	Electric Piano
874     	006:106     	kb2:Pretty EP                     	Electric Piano
875     	006:107     	kb2:PrettyLushEP                  	Electric Piano
876     	006:108     	kb2:Rezzroadz                     	Electric Piano
877     	006:109     	kb2:Suitcase EP                   	Electric Piano
878     	006:110     	kb2:Supatramp EP                  	Electric Piano
879     	006:111     	kb2:WideSuitcase                  	Electric Piano
880     	006:112     	kb2:Wurlitzer Hd                  	Electric Piano
881     	006:113     	kb2:WurlitzerSft                  	Electric Piano
882     	006:114     	kb2:WurlyD'Layer                  	Electric Piano
883     	006:115     	key:Buzzy Clav                    	Electric Piano
884     	006:116     	key:Clav Flanger                  	Electric Piano
885     	006:117     	key:Clavicle                      	Electric Piano
886     	006:118     	key:Clavinet                      	Electric Piano
887     	006:119     	key:Clavitzer                     	Electric Piano
888     	006:120     	key:Clavsichord                   	Electric Piano
896     	007:000     	kbd:Bosenpad                      	Piano
898     	007:002     	kb1:Grande                        	Piano
899     	007:003     	kb1:StereoGrand1                  	Piano
900     	007:004     	kb1:Concert Pno                   	Piano
901     	007:005     	kb1:Dance Pno                     	Piano
902     	007:006     	kb1:DynamicGrand                  	Piano
903     	007:007     	kb1:Piano&Strng1                  	Piano
904     	007:008     	kb1:StereoGrand2                  	Piano
905     	007:009     	kb1:StereoGrand3                  	Piano
906     	007:010     	kb1:StereoGrand4                  	Piano
907     	007:011     	kb1:Layer Piano                   	Piano
908     	007:012     	kb1:Miami Grand                   	Piano
909     	007:013     	kb1:Piano&Strng2                  	Piano
910     	007:014     	kb1:Bonus Grand                   	Piano
911     	007:015     	kb1:Chime Grand                   	Piano
912     	007:016     	kb1:HonkTonkeyz                   	Piano
913     	007:017     	kb1:Piano Mio                     	Piano
914     	007:018     	aco:Piano & Strg                  	Piano
915     	007:019     	kb1:Ballad Grand                  	Piano
916     	007:020     	kb1:Sung Piano                    	Piano
917     	007:021     	kb1:Techno Piano                  	Piano
918     	007:022     	kb2:Ballad Tine                   	Piano
919     	007:023     	kb1:And Voice                     	Piano
920     	007:024     	aco:Rock Piano                    	Piano
921     	007:025     	aco:Pianulus                      	Piano
922     	007:026     	aco:Piano Duo                     	Piano
1024    	008:000     	led:Sonic Six                     	Lead
1025    	008:001     	led:Muddy Sync                    	Lead
1026    	008:002     	led:RhaspyClickr                  	Lead
1027    	008:003     	led:BigSoloSqr                    	Lead
1028    	008:004     	led:Pulse                         	Lead
1029    	008:005     	led:M12                           	Lead
1030    	008:006     	led:OBX SyncMono                  	Lead
1031    	008:007     	led:PortaLead                     	Lead
1032    	008:008     	led:Power Mini                    	Lead
1033    	008:009     	led:WickedSquare                  	Lead
1034    	008:010     	led:OverDrive101                  	Lead
1035    	008:011     	led:E-MU Modular                  	Lead
1036    	008:012     	led:Funky Junk                    	Lead
1037    	008:013     	led:SawsOfOld                     	Lead
1038    	008:014     	led:Skware!!                      	Lead
